priority,status,qty,item,home_depot_search,acceptable_substitute,purpose,buy_criteria,avoid,notes
1,Buy,1-2 bars,"1/4 in thick aluminum flat bar, 2 in wide preferred, 48 in or longer","aluminum flat bar","1/4 in x 1-1/2 in aluminum flat bar if 2 in is unavailable","Hard spacer pads under NXT rail at roof-bow fastener stations","Cut into 12-16 short pads, about 3-4 in long; aluminum remains the crush-control spacer","Thin aluminum, steel/zinc strip, wood, PVC, full-length strip under rail","One 48 in bar makes 12 x 4 in pads or 16 x 3 in pads. Buy a second bar if mistakes or a third rail are likely."
2,Conditional buy,1 pack,"Black self-adhesive rubber pad or sheet","black self adhesive rubber pad","Dense solid rubber packing sheet, roof pipe boot rubber, or neoprene/EPDM gasket material","Thin isolation/gasket layer between aluminum spacer pad and roof skin","Buy only if dense/solid, hard to compress with thumbnail, about 1/16-1/8 in thick, and labeled outdoor/weatherproof/EPDM/neoprene/rubber","Foam weatherstrip, furniture pads, felt, soft squishy pads, thick rubber that becomes the spacer","Home Depot in-store location observed: Aisle 10, Bay 018. Stick adhesive side to underside of aluminum pad, not the roof. Bed/seal the pad with real sealant; do not trust pressure-sensitive adhesive."
3,Conditional buy,1,"Rubber roof pipe boot/rain collar flashing","rubber roof pipe boot","Oatey/Master Flash-style EPDM/neoprene pipe flashing","Best Home Depot hack for real roof-rated rubber if sheet EPDM is not stocked","Buy if the boot is EPDM/neoprene/synthetic rubber and has enough flat area to cut 12-16 gasket pads","Metal-only flashing, asphalt products, brittle plastic collars","Cut small flat gasket pieces. Use under aluminum pads, not as the spacer."
4,Buy,16-20 sets,"Stainless machine bolts, washers, nylock nuts; 1/4-20 or 5/16-18 TBD","stainless hex bolt nylock washer","Stainless carriage/hex bolts if head clearance works","Through-rail fasteners into roof bows","With the temporary 1.75 in assumed stack, buy 2-1/2 in stainless bolts; final diameter still waits on rail channel and bow access","Zinc-plated hardware for exposed roof, self-drilling sheet-metal screws as primary structure, 2 in bolts for the 1.75 in stack","2-1/2 in gives room for washer/backing/nylock/thread protrusion. Buy 3 in only if the backing stack gets noticeably thicker."
5,Buy if stocked,16-20,"EPDM/neoprene bonded sealing washers sized to bolts","bonded sealing washer","Stainless sealing washer with rubber bonded washer","Fastener-head leak control under exposed bolt heads","Match final bolt diameter; rubber washer captured under metal washer","Loose rubber washer alone as structural spacer","Use with sealant cap/detail after bedding cure."
6,Buy,1 tube,"Anti-seize compound","anti seize","Marine or stainless-compatible anti-seize","Prevent stainless fastener galling","Small tube is enough","Dry stainless-on-stainless assembly","Use on all stainless bolts/nuts."
7,Buy,2 tubes,"Henry 884 Tropi-Cool silicone roof sealant","Henry 884","Compatible silicone roof sealant if 884 unavailable","Exposed fastener caps, pad edges, roof-system detailing","Use for exposed caps/edges after mechanical fastening and bedding","Using Henry 884 as the structural adhesive","Do not bury clamp slots or make full-length dams."
8,Buy elsewhere if not stocked,1-2 tubes,"Sikaflex-252 or marine polyurethane bedding adhesive","Sikaflex 252 3M 5200 marine adhesive","3M 5200 if permanent removal-hostile bond is acceptable","Secondary bond/bedding under spacer pads","Use interrupted pads/beads at bow stations only","Construction adhesive, asphalt roof cement, foam adhesive, full-length adhesive dam","Home Depot may not stock the right Sika. If unavailable, buy online/elsewhere rather than substituting mystery adhesive."
9,Buy after measurement,1 lot,"Interior backing washers/plates or crush sleeves","stainless fender washer aluminum flat bar spacer","Stainless fender washers, aluminum backing strip, or sleeves","Spread load inside roof bows and prevent crush/oil-canning","Select after confirming bow width, wall thickness, and access","No backing, over-tightening into thin skin/bow, rubber-only compression stack","May be fender washers now; backing plates/sleeves later if access allows."
10,Buy,1 lot,"Masking/prep consumables","painter tape isopropyl alcohol scotch brite","Clean rags, Scotch-Brite pads, deburring bit","Clean bonding surfaces and keep sealant out of rail slots","Buy if not already in shop","Oily/dirty bonding surfaces","Mask rail slots and roof before bedding pads."
