action,match_item,type,bucket,category,status,system,qty,item,unit_price,extended_price,basis,source_url,notes
replace,Dometic CFX3 95DZ,LINE,Committed,Ordered / purchased / priced,PURCHASED,Fridge,1,Dometic CFX3 95DZ,875.00,875.00,eBay order price,__blank__,eBay score. Actual counted cost is 875.
replace,Velit 2000R 48 V rooftop AC,LINE,Committed,Ordered / purchased / priced,ORDERED,Cooling,1,Velit 2000R 48 V rooftop AC,1679.00,1679.00,Actual ordered price,https://velitcamping.com/products/velit-2000r-rooftop-air-conditioner-12v-24v?variant=43751785201901,Actual ordered price.
replace,Victron SmartSolar MPPT 250/60-Tr,LINE,Committed,Ordered / purchased / priced,ORDERED,Roof solar,1,Victron SmartSolar MPPT 250/60-Tr,400.47,400.47,Actual ordered price,https://www.wholesalemarine.com/victron-smartsolar-mppt-250-60-tr-solar-charge-controller/,Actual ordered price.
replace,HRV 4 in rough-in ports/caps + pull string,LINE,Remaining,Climate / envelope / awning,BUY AFTER GATE,HRV rough-in,2,HRV 4 in rough-in ports/caps + pull string,0.00,0.00,Zeroed until parts are selected,,Cost intentionally held at zero for now.
replace,LandAirSea 54 GPS + hardwire cable,LINE,Committed,Ordered / purchased / priced,ORDERED,GPS,1 each,LandAirSea Overdrive Permanent GPS Tracker with hardwire cable,100.00,100.00,Actual ordered price,https://landairsea.com/products/landairsea-overdrive,"Ordered for 100.00; expected arrival June 12, 2026. Primary hidden Oakland-storage tracker, hardwired to the 24 V block on a 3 A branch. Subscription required."
append,,LINE,Remaining,Interior / floor / walls,BUY AFTER GATE,Floor coating,1,Durabak-18 Outdoor Textured light grey conditional 4th gallon,155.00,155.00,Conditional allowance,https://www.durabakcompany.com/products/durabak-marine-liner-outdoor-textured,Order only if the 3 gal coverage or patch test says ramp cove or wear lanes need it.
replace,Roof solar mounting rails/feet/fasteners,LINE,Remaining,Power / solar / cabinet,BUY AFTER GATE,Solar,1 lot,"Roof solar NXT rails, spacers, backing, and through-fasteners",500.00,500.00,Allowance,,"Two fore-aft NXT rails plus possible third rail, 1/4 in aluminum spacer pads at bow crossings if needed, EPDM/neoprene isolation or high-durometer spacer material, backing plates/crush sleeves, through-fasteners, clips, gland, adhesive/bedding, and sealant consumables. Itemized breakout with vendor pricing: solar-mounting-order-sheet.md (~$412 parts, inside allowance; rails will-called from a local branch — decided 2026-06-10, no LTL freight)."
replace,Security locks: Proven 2516 2 puck locks Trimax TCL65,LINE,Remaining,Lighting / switches / security,BUY NOW,Security,1 set,"Security locks: Proven 2178, 2 keyed-alike PACLOCK UCS-7A pucks, Trimax TCL65",589.95,589.95,Proven + Trimax + PACLOCK high-side allowance,https://paclock.com/product/7-series/,"Trailer has a 2 in coupler; Proven 2516 is for 2-5/16 in and is not the correct default. Buy two PACLOCK 7-Series flat-back puck locks in the same UCS keyed-alike/U-PICK code: one rear ramp, one Nu-Set personnel-door hasp. Match the truck's existing PACLOCK U-PICK code only if those truck locks are UCS; PRO/SR/RD families do not automatically share codes. Prefer stainless bodies if the storage spot is exposed to Bay Area wet/salt; aluminum UCS-7A is acceptable if budget wins. Verify the ramp latch is puck-compatible; if not, add a puck hasp or use a PACLOCK keyed-alike UCS padlock as the fallback."
replace,Interior task/main lighting strips channels local dimmers,LINE,Remaining,Lighting / switches / security,BUY NOW,Interior lighting,1 lot,Interior task/main lighting strips channels,250.00,250.00,Allowance,,24 V preferred; final strip SKU still open. Branch dimmer counted separately.
replace,Super Bright LEDs LDK-8A PWM dimmer,LINE,Remaining,Lighting / switches / security,BUY AFTER GATE,Switches,6,Panel-mount 24 V lighting dimmers,45.00,270.00,Allowance,,"Preferred finished-cabinet controls; exact SKU TBD after panel mockup and VAL2-NW9 bench test. Blue Sea 7509 DeckHand is the robust marine reference; cheap PWM knob dimmers remain bench-test/prototype parts."
append,,LINE,Committed,Ordered / purchased / priced,ORDERED,Security,1,Nu-Set 8-1/4 in high-security trailer-door puck hasp,20.00,20.00,Actual ordered price,https://www.nusetlock.com/products/nuset-8-1-4-high-security-trailer-door-hasp-in-stealth-blackl,"User ordered Nu-Set RV high-security hasp for puck lock for 20.00. Source says hardware is not included."
append,,LINE,Remaining,Lighting / switches / security,BUY NOW,Security,1 set,Personnel-door hasp backing/install hardware,45.00,45.00,Allowance,https://www.nusetlock.com/products/nuset-8-1-4-high-security-trailer-door-hasp-in-stealth-blackl,"Nu-Set hasp needs six 3/8 in carriage bolts/washers/nuts plus backing plates and sealant. Tie into the door frame/jamb, not thin door skin alone. External puck remains unattended/travel/storage only, not an occupied-mode latch."
append,,LINE,Deferred,Deferred / not Juplaya,DEFERRED,Comms,1,Starlink Mini kit,249.00,249.00,Optional retail price signal,https://www.homedepot.com/p/STARLINK-Starlink-Mini-Kit-02535001-HD/331732584,"Optional Oakland-storage and camp comms path; secondary to hidden cellular GPS. Requires open sky, theft-resistant mount if left outside, and a power schedule or live solar. Service plan is recurring and not included in the fit-out subtotal."
replace,LiTime 500 A Bluetooth shunt,SUNK,Excluded,Sunk / on-hand / receipt-needed,ON HAND,Battery monitor,1,LiTime 500 A Bluetooth shunt,105.99,,Receipt needed,,Superseded for the active build by the ordered Victron SmartShunt 500A + Cerbo GX Mk2 monitoring path; keep as spare/test gear.
append,,LINE,Committed,Ordered / purchased / priced,ORDERED,Battery monitor,1,Victron SmartShunt 500A,0.00,,Receipt needed,https://www.victronenergy.com/battery-monitors/smart-battery-shunt,"Ordered; expected June 15, 2026. Replaces the LiTime shunt as the active 48 V battery monitor and feeds Cerbo GX Mk2 via VE.Direct."
append,,LINE,Committed,Ordered / purchased / priced,ORDERED,Monitoring,1,Victron Cerbo GX Mk2,0.00,,Receipt needed,https://www.victronenergy.com/communication-centres/cerbo-gx,"Ordered; expected June 15, 2026. System monitor/controller for SmartSolar MPPTs and SmartShunt now, and VE.Bus MultiPlus-II later."
replace,Victron Orion-Tr 48/24-16A isolated converter,LINE,Committed,Ordered / purchased / priced,ORDERED,Power,1,Victron Orion-Tr 48/24-16A isolated converter,201.45,201.45,NAZ Solar price signal,https://www.solar-electric.com/victron-energy-orion-tr-48-24-16a-dc-dc-converter.html,"Ordered; receipt needed. Required 24 V house-bus converter."
replace,Victron MultiPlus-II 48/3000/35-50 120V,LINE,Committed,Ordered / purchased / priced,ORDERED,Inverter / shore,1,Victron MultiPlus-II 48/3000/35-50 120V,1200.00,1200.00,Receipt needed,https://www.victronenergy.com/inverters-chargers/multiplus-ii,"En route as of 2026-07-10; receipt and arrival date needed. Physical location, protected DC route, disconnect, and AC distribution remain gated."
replace,Henry 887 Tropi-Cool White 100% Silicone Roof Coating 4.75 gal,LINE,Committed,Ordered / purchased / priced,INSTALLED,Roof coating,1,Henry 887 Tropi-Cool White 100% Silicone Roof Coating 4.75 gal,369.00,369.00,Prior allowance; receipt needed,https://www.homedepot.com/p/Henry-887-Tropi-Cool-White-100-Silicone-Reflective-Roof-Coating-4-75-gal-HE887HS018/205049553,"Roof coating completed by owner report on 2026-07-10. Retain material or obtain matching Henry 884/887 products for restoration after the still-open Velit reinforcement work."
replace,Blue Sea 5026 12-circuit ST Blade fuse block,LINE,Remaining,Power / solar / cabinet,BUY NOW,Power,1,Blue Sea 5026 12-circuit ST Blade fuse block,55.00,55.00,Allowance,https://www.bluesea.com/products/5026/ST_Blade_Fuse_Block_-_12_Circuits_with_Negative_Bus_and_Cover,"24 V branch distribution downstream of the Orion-Tr only; 32 V max rating is acceptable there. Included in ancillary-order-sheet.md."
replace,Blue Sea 7443 UL-489 20 A / 80 V breaker or verified equivalent,LINE,Remaining,Power / solar / cabinet,BUY NOW,Power,1,Blue Sea 7443 UL-489 20 A / 80 V DC breaker,51.26,51.26,Blue Sea official page,https://www.bluesea.com/products/7443/UL-489_Circuit_Breaker_-_20A_Flat_Rocker,"Use 7443 for the 20 A / 80 V DC UL-489 breaker. Do not use 7463 here; it is a 2-pole 240 V AC breaker. Included in ancillary-order-sheet.md."
replace,Scanstrut SC-USB-F3 Flip Pro Max dual USB-C,LINE,Remaining,Power / solar / cabinet,BUY NOW,USB,1,Scanstrut SC-USB-F3 Flip Pro Max dual USB-C,50.99,50.99,Defender price signal,https://defender.com/en_us/scanstrut-flip-pro-max-dual-usb-c-charge-socket-sc-usb-f3,"24 V input unlocks full USB-C output. Spec reference and buy note included in ancillary-order-sheet.md."
replace,Fused cigarette-lighter receptacles for cabinet 12 V,LINE,Remaining,Power / solar / cabinet,BUY NOW,12 V auxiliary,1 set,Fused 12 V cabinet receptacles,40.00,40.00,Allowance,https://www.bluesea.com/products/1011/Dash_Socket_12V_DC_with_Watertight_Cap,"Default target is 2x Blue Sea 1011-style 12 V sockets downstream of the 48/12 Orion, with local fuse/labels. Auxiliary only; not a distributed 12 V rail. Included in ancillary-order-sheet.md."
replace,Power wiring lugs heat shrink busbars labels loom,LINE,Remaining,Power / solar / cabinet,BUY NOW,Power,1 lot,Power wiring lugs heat shrink busbars labels loom,450.00,450.00,Allowance,,"Covers bench wiring, branch terminations, busbars, adhesive heat shrink, labels, loom, clamps, and spare ferrules. Detailed lengths, AWG, and terminal sizes are in wire-and-termination-order-sheet.md; ancillary-order-sheet.md remains the non-Victron cart index."
replace,Cabinet ventilation: 24 V fan thermostat transfer grilles/filter,LINE,Remaining,Power / solar / cabinet,BUY NOW,Power cabinet,1 set,Cabinet ventilation: 24 V fan thermostat transfer grilles/filter,125.00,125.00,Allowance,,"Cabin-side intake/exhaust plan; no through-wall vent for now. Included in ancillary-order-sheet.md."
replace,Super Bright LEDs RA-IP68-80CRI-5m 3000 K 24 V awning strip,LINE,Remaining,Lighting / switches / security,BUY NOW,Awning lighting,1,Super Bright LEDs RA-IP68-80CRI-5m 3000 K 24 V awning strip,109.99,109.99,Super Bright LEDs price signal,https://www.superbrightleds.com/led-strips-and-bars/waterproof-led-strips/5m-white-led-strip-light-radiant-series-led-tape-light-24v-ip68-waterproof,"Separate warm camp light, not another flood. Included in ancillary-order-sheet.md."
replace,Lighting branch wire glands sealant heat shrink,LINE,Remaining,Lighting / switches / security,BUY NOW,Lighting,1 lot,Lighting branch wire glands sealant heat shrink,140.00,140.00,Allowance,,"Exterior branch wiring, penetrations, and fixture/dimmer terminations. Detailed 16/2 and 18/2 lengths plus terminal sizes are in wire-and-termination-order-sheet.md."
replace,Blue Sea 8260 6-position Contura mounting panel,LINE,Remaining,Lighting / switches / security,BUY NOW,Switches,1,Blue Sea 8260 6-position Contura mounting panel,17.68,17.68,Fisheries Supply price signal,https://www.fisheriessupply.com/blue-sea-systems-contura-switch-mounting-panels/8260,"Mount in thin inset plate or rabbet thick bench face; Blue Sea official spec accepts panel thicknesses up to 0.38 in. Included in ancillary-order-sheet.md."
replace,Blue Sea 8282 SPST OFF-ON Contura switches,LINE,Remaining,Lighting / switches / security,BUY NOW,Switches,6,Blue Sea 8282 SPST OFF-ON Contura switches,14.00,84.00,Vanlife Outfitters price signal,https://www.vanlifeoutfitters.com/products/blue-sea-8282-contura-switch-spst-off-on-black,"INTERIOR, CURB FLOOD, ROAD FLOOD, NOSE FLOOD, REAR FLOOD, AWNING. Included in ancillary-order-sheet.md."
replace,Panel-mount 24 V lighting dimmers,LINE,Remaining,Lighting / switches / security,BUY AFTER GATE,Switches,6,Panel-mount 24 V lighting dimmers,45.00,270.00,Allowance,https://www.superbrightleds.com/led-strips-and-bars/ldk-8a-12-24-volt-dc-single-color-led-dimmer-single-color-led-dimmer,"Buy after panel mockup and VAL2-NW9 bench test. Blue Sea 7509 DeckHand is the robust marine reference; cheap PWM knob dimmers remain bench-test/prototype parts. Included in ancillary-order-sheet.md."
